2024-09-11 06:41:27 status unpacked libk5crypto3:amd64 1.19.2-2
2024-09-11 06:41:27 install libkeyutils1:amd64 <none> 1.6.1-2ubuntu3
2024-09-11 06:41:27 status half-installed libkeyutils1:amd64 1.6.1-2ubuntu3
2024-09-11 06:41:27 status unpacked libkeyutils1:amd64 1.6.1-2ubuntu3
2024-09-11 06:41:27 install libkrb5-3:amd64 <none> 1.19.2-2
2024-09-11 06:41:27 status half-installed libkrb5-3:amd64 1.19.2-2
2024-09-11 06:41:27 status unpacked libkrb5-3:amd64 1.19.2-2
2024-09-11 06:41:27 install libkrb5support0:amd64 <none> 1.19.2-2
2024-09-11 06:41:27 status half-installed libkrb5support0:amd64 1.19.2-2
2024-09-11 06:41:27 status unpacked libkrb5support0:amd64 1.19.2-2
2024-09-11 06:41:27 install liblz4-1:amd64 <none> 1.9.3-2build2
2024-09-11 06:41:27 status half-installed liblz4-1:amd64 1.9.3-2build2
2024-09-11 06:41:27 status unpacked liblz4-1:amd64 1.9.3-2build2
2024-09-11 06:41:27 install liblzma5:amd64 <none> 5.2.5-2ubuntu1
2024-09-11 06:41:27 status half-installed liblzma5:amd64 5.2.5-2ubuntu1
2024-09-11 06:41:27 status unpacked liblzma5:amd64 5.2.5-2ubuntu1
2024-09-11 06:41:27 install libmount1:amd64 <none> 2.37.2-4ubuntu3
2024-09-11 06:41:27 status half-installed libmount1:amd64 2.37.2-4ubuntu3
2024-09-11 06:41:27 status unpacked libmount1:amd64 2.37.2-4ubuntu3
2024-09-11 06:41:27 install libncurses6:amd64 <none> 6.3-2
2024-09-11 06:41:27 status half-installed libncurses6:amd64 6.3-2
2024-09-11 06:41:27 status unpacked libncurses6:amd64 6.3-2
2024-09-11 06:41:27 install libncursesw6:amd64 <none> 6.3-2
2024-09-11 06:41:27 status half-installed libncursesw6:amd64 6.3-2
2024-09-11 06:41:27 status unpacked libncursesw6:amd64 6.3-2
2024-09-11 06:41:27 install libnsl2:amd64 <none> 1.3.0-2build2
2024-09-11 06:41:27 status half-installed libnsl2:amd64 1.3.0-2build2
2024-09-11 06:41:27 status unpacked libnsl2:amd64 1.3.0-2build2
